yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1938,AL,HKB,HKB,Nishinomiya Braves,Hankyu Nishinomiya Stadium,35000,1.0,1.0,1.0,1.0,HKB,HKB,HKB,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/nishinomiya_stadium
1938,AL,HNT,HNT,Osaka Tigers,Hanshin Koshien Stadium,47508,1.0,1.0,1.0,1.0,HNT,HNT,HNT,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1938,AL,KNS,KNS,Nagoya Kinshachi,Narumi Stadium,15000,1.0,1.0,1.0,1.0,KNS,KNS,KNS,15000,o,g,299,299,348,387,348,299,299,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1938,AL,NKH,NKH,Osaka Hawks,Osaka Stadium,32000,1.0,1.0,1.0,1.0,NKH,NKH,NKH,32000,o,g,300,300,340,380,340,300,300,10,10,10,10,10,10,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/osaka_stadium
1938,AL,TKS,TKS,Tokyo Senators,Korakuen Stadium,42337,1.0,1.0,1.0,1.0,TKS,TKS,TKS,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/korakuen_stadium
1938,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,1.0,1.0,1.0,1.0,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,models/korakuen_stadium
1939,AL,CHD,CHD,Nagoya Dragons,Korakuen Stadium,42337,1.010794,0.953846,1.104167,1.050964,CHD,CHD,CHD,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,models/korakuen_stadium
1939,AL,DTK,DTK,Tokyo Dai-Tokyo,Hanshin Koshien Stadium,47508,0.94803,0.939394,1.021739,0.861022,DTK,DTK,DTK,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,
1939,AL,EGL,EGL,Tokyo Eagles,Korakuen Stadium,42337,1.010794,0.953846,1.104167,1.050964,EGL,EGL,EGL,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,models/korakuen_stadium
1939,AL,HKB,HKB,Nishinomiya Braves,Hanshin Koshien Stadium,47508,0.94803,0.939394,1.021739,0.861022,HKB,HKB,HKB,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,
