playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,GO,AO,QS,BS,Holds,SvOpp,NumberOfPitches,BABIP AB Against,H-HR actual,MLB pBABIP,career_babip_actual_500_ab_minimum,1yr_babip_actual_100_ab_minimum,3yr_babip_actual_300_ab_minimum,5yr_babip_actual_500_ab_minimum,career_babip_aactual_500_ab_minimum_Relative,1yr_babip_aactual_100_ab_minimum_Relative,3yr_babip_actual_300_ab_minimum_Relative,5yr_babip_actual_500_ab_minimum_Relative,career_babip_actual_1000_ab_minimum,1yr_babip_actual_200_ab_minimum,3yr_babip_actual_600_ab_minimum,5yr_babip_actual_1000_ab_minimum,career_babip_actual_1000_ab_minimum_Relative,1yr_babip_actual_200_ab_minimum_Relative,3yr_babip_actual_600_ab_minimum_Relative,5yr_babip_actual_1000_ab_minimum_Relative,IP,BF
abeka02,2019,1,LTM,NL,0,0,4,0,0,0,0,12,1,0,0,2,2,,0.0,,0,0,0,14,2,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4.0,14
abeka03,1960,1,NSL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abeka03,1961,1,NSL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abeka03,1962,1,NSL,NL,1,1,9,3,1,1,0,75,19,7,2,2,4,,2.52,,1,1,1,94,1,7,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,25.0,94
abeka03,1963,1,NSL,NL,10,1,53,3,0,0,0,432,101,28,11,43,64,,1.75,,3,7,0,564,23,30,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,144.0,564
abeka03,1964,1,NSL,NL,11,5,49,19,5,3,0,531,152,54,9,56,55,,2.75,,0,9,0,728,7,63,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,177.0,728
abeka03,1965,1,NSL,NL,4,6,40,5,0,0,0,270,92,36,11,21,27,,3.6,,2,1,0,378,17,41,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,90.0,378
abeka03,1966,1,HNT,AL,5,5,29,8,1,1,0,235,76,30,2,35,22,,3.46,,1,5,0,337,8,36,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,78.1,337
abeka03,1967,1,HNT,AL,3,5,24,2,0,0,0,130,41,15,5,16,25,,3.14,,0,0,0,182,14,20,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,43.1,182
abeka03,1968,1,HNT,AL,2,3,20,3,0,0,0,129,40,14,3,10,23,,2.93,,0,1,0,176,11,15,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,43.0,176
abeka03,1969,1,HNT,AL,0,0,1,0,0,0,0,3,1,0,0,0,0,,0.0,,0,0,0,4,1,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1.0,4
abeke02,2003,1,KNB,NL,2,0,5,3,1,0,0,75,22,6,3,6,23,,2.16,,1,0,0,100,1,6,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,25.0,100
abeke02,2004,1,KNB,NL,0,1,2,1,0,0,0,16,12,8,4,1,3,,13.5,,0,0,0,29,0,8,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,5.1,29
abeke02,2005,1,OBF,NL,0,0,3,0,0,0,0,15,6,4,2,1,7,,7.2,,0,1,0,22,3,4,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,5.0,22
abeke02,2006,1,OBF,NL,0,0,5,0,0,0,0,19,6,3,1,1,4,,4.26,,0,1,0,27,3,3,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,6.1,27
abeke02,2007,1,OBF,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abeke02,2008,1,HNT,AL,0,1,32,0,0,0,0,155,37,17,8,9,34,,2.96,,0,4,0,200,3,17,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,51.2,200
abeke02,2009,1,HNT,AL,0,1,19,3,0,0,0,99,39,12,2,13,24,,3.27,,1,1,0,147,4,13,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,33.0,147
abeke02,2010,1,HNT,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abeke02,2011,1,HNT,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abeke02,2012,1,YKS,AL,0,0,15,0,0,0,0,45,12,6,1,6,9,,3.6,,0,0,0,62,10,6,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,15.0,62
abeke02,2013,1,YKS,AL,1,0,18,0,0,0,0,60,19,10,3,5,18,,4.5,,1,0,0,83,7,10,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,20.0,83
abeke02,2014,1,YKS,AL,0,0,11,0,0,0,0,43,25,22,4,8,11,,13.81,,1,0,0,74,5,22,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,14.1,74
abeke02,2015,1,YKS,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abena01,1965,1,TYW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abena01,1966,1,TYW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
abena01,1967,1,TYW,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,-,0
