yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,Ties,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,hist_team_id,ros_team_id,unique_id
1939,AL,HNT,HNT,,2,96,51,63,30,3,,,438,3245,776,102,45,32,431,331,110,0,16,19,277,194,2.02,56,11,0,2595,694,15,303,327,131,278,,Osaka Tigers,Hanshin Koshien Stadium,0,,,,,,,,
1939,AL,KNS,KNS,,7,96,46,36,56,4,,,265,3068,627,79,24,13,407,341,125,0,21,22,398,272,2.86,45,8,0,2566,731,17,447,357,187,294,,Nagoya Kinshachi,Korakuen Stadium,0,,,,,,,,
1939,AL,LIO,LIO,,8,96,49,33,58,5,,,314,3200,695,77,32,8,384,341,96,0,12,22,429,298,3.11,50,8,0,2586,748,16,487,335,224,234,,Tokyo Lion,Hanshin Koshien Stadium,0,,,,,,,,
1939,AL,NKH,NKH,,5,96,53,40,50,6,,,336,3097,713,84,38,15,394,359,130,0,8,19,342,240,2.51,52,11,0,2582,701,11,477,245,169,339,,Osaka Hawks,Hanshin Koshien Stadium,0,,,,,,,,
1939,AL,TKS,TKS,,4,96,46,49,38,9,,,290,3091,629,83,19,12,458,352,87,0,15,19,287,215,2.21,54,14,0,2623,729,25,281,393,158,266,,Tokyo Senators,Korakuen Stadium,0,,,,,,,,
1939,AL,YMG,YMG,,1,96,48,66,26,4,Y,,493,3270,869,130,45,26,459,337,121,0,14,29,267,197,2.07,59,16,0,2567,607,13,426,496,137,288,,Tokyo Giants,Korakuen Stadium,0,,,,,,,,
1940,AL,CHD,CHD,,5,104,54,58,41,5,,,334,3276,626,71,35,12,495,473,131,0,11,21,279,198,1.9,56,14,0,2814,744,17,407,287,171,352,,Nagoya Dragons,Korakuen Stadium,0,,,,,,,,
1940,AL,EGL,EGL,,6,104,51,46,54,4,,,275,3284,648,65,19,9,395,317,93,0,14,15,335,231,2.24,79,13,0,2787,621,13,591,431,164,347,,Tokyo Eagles,Korakuen Stadium,0,,,,,,,,
1940,AL,HKB,HKB,,3,104,50,61,38,5,,,317,3439,735,69,22,9,447,387,108,0,14,30,248,167,1.57,66,18,0,2876,629,10,336,282,167,310,,Nishinomiya Braves,Hankyu Nishinomiya Stadium,0,,,,,,,,
1940,AL,HNT,HNT,,2,104,51,64,37,3,,,400,3449,768,129,34,13,369,361,120,0,10,20,240,172,1.66,48,23,0,2793,667,9,352,323,155,387,,Osaka Tigers,Hanshin Koshien Stadium,0,,,,,,,,
1940,AL,KNS,KNS,,7,104,52,34,63,7,,,310,3383,675,89,17,14,491,450,87,0,13,19,425,311,2.99,45,4,0,2813,766,10,573,431,193,255,,Nagoya Kinshachi,Korakuen Stadium,0,,,,,,,,
1940,AL,LIO,LIO,,9,104,55,24,76,4,,,225,3329,623,77,29,3,461,431,64,0,12,22,416,284,2.76,44,7,0,2775,789,9,438,389,214,216,,Tokyo Lion,Hanshin Koshien Stadium,0,,,,,,,,
1940,AL,NKH,NKH,,8,105,53,28,71,6,,,242,3451,676,81,36,6,377,403,93,0,17,10,424,261,2.44,63,7,0,2884,763,5,564,459,253,269,,Osaka Hawks,Hankyu Nishinomiya Stadium,0,,,,,,,,
1940,AL,TKS,TKS,,4,105,51,56,39,10,,,344,3389,697,93,18,17,477,364,109,0,13,22,298,212,2.0,57,14,0,2861,718,21,302,450,183,283,,Tokyo Senators,Korakuen Stadium,0,,,,,,,,
1940,AL,YMG,YMG,,1,104,52,76,28,0,Y,,439,3428,814,124,45,23,512,395,141,0,14,25,221,162,1.56,80,22,0,2810,565,12,461,529,162,263,,Tokyo Giants,Korakuen Stadium,0,,,,,,,,
1941,AL,ASH,ASH,,8,85,42,25,59,1,,,197,2747,524,70,7,10,398,306,106,0,10,0,294,196,2.24,44,5,0,2363,612,12,490,226,156,259,,Tokyo Asahi,Korakuen Stadium,0,,,,,,,,
1941,AL,CHD,CHD,,6,84,42,37,47,0,,,197,2686,489,43,8,13,425,244,56,0,6,0,217,152,1.75,39,12,0,2347,542,12,363,252,125,281,,Nagoya Dragons,Korakuen Stadium,0,,,,,,,,
1941,AL,EGL,EGL,,7,85,43,28,56,1,,,188,2727,527,58,18,13,272,245,64,0,7,0,310,241,2.86,47,11,0,2278,612,23,454,217,110,280,,Tokyo Eagles,Korakuen Stadium,0,,,,,,,,
1941,AL,HKB,HKB,,2,85,43,53,31,1,,,251,2779,574,62,13,14,417,267,78,0,7,0,204,141,1.59,43,17,0,2388,533,4,345,242,117,270,,Nishinomiya Braves,Korakuen Stadium,0,,,,,,,,
1941,AL,HNT,HNT,,5,84,42,41,43,0,,,190,2874,567,84,15,6,316,256,35,0,9,0,199,144,1.61,43,9,0,2420,605,4,351,234,125,262,,Osaka Tigers,Korakuen Stadium,0,,,,,,,,
