playerID,yearID,stint,teamID,lgID,G,G_started,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,Player XBT relative to League,ros_team_id,hist_id,hist_team_id,ros_player_id,New,Player XBT 1yr Relative to League,Player XBT 3yr Relative to League,Player XBT 5yr Relative to League
abeke02,2006,1,OBF,NL,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke02,2007,1,OBF,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke02,2008,1,HNT,AL,32,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
abeke02,2009,1,HNT,AL,19,,3,1,2,0,0,0,1,0,0,2,1,0,0,0,0,0,,,,,,,,,,
abeke02,2010,1,HNT,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke02,2011,1,HNT,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke02,2012,1,YKS,AL,15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke02,2013,1,YKS,AL,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke02,2014,1,YKS,AL,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
abeke02,2015,1,YKS,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke03,1984,1,HRC,AL,9,,5,1,1,0,0,1,1,0,0,1,2,0,0,0,0,0,,,,,,,,,,
abeke03,1985,1,HRC,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke03,1986,1,HRC,AL,16,,12,0,1,0,0,0,1,1,0,2,5,0,0,0,0,0,,,,,,,,,,
abeke03,1987,1,HRC,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke03,1988,1,HRC,AL,2,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
abeke04,1971,1,LTO,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke04,1972,1,LTO,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke04,1973,1,LTO,NL,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeke04,1974,1,LTO,NL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abema01,2001,1,KNB,NL,44,,93,6,18,3,0,0,11,1,0,6,10,0,0,3,1,5,,,,,,,,,,
abema01,2002,1,KNB,NL,125,,338,28,71,16,2,6,29,0,2,21,49,0,5,23,5,3,,,,,,,,,,
abema01,2003,1,KNB,NL,111,,398,58,116,28,1,6,43,6,0,33,37,0,1,11,4,7,,,,,,,,,,
abema01,2004,1,KNB,NL,123,,380,47,94,21,2,7,50,3,2,42,46,1,7,11,3,11,,,,,,,,,,
abema01,2005,1,OBF,NL,127,,331,24,93,13,1,2,35,5,2,37,45,0,5,17,6,10,,,,,,,,,,
abema01,2006,1,OBF,NL,67,,203,15,44,5,0,3,21,4,2,17,24,1,1,13,1,3,,,,,,,,,,
abema01,2007,1,OBF,NL,77,,239,30,62,14,1,0,18,2,1,18,21,0,5,18,1,4,,,,,,,,,,
abema01,2008,1,OBF,NL,55,,119,12,26,5,0,0,9,1,0,6,15,0,3,9,0,0,,,,,,,,,,
abema01,2009,1,OBF,NL,46,,148,13,39,10,1,1,23,1,1,18,19,0,1,14,1,4,,,,,,,,,,
abema01,2010,1,SBL,NL,64,,125,22,32,8,0,1,10,0,0,21,14,0,2,9,0,5,,,,,,,,,,
abema01,2011,1,SBL,NL,24,,24,1,4,0,0,0,1,0,0,4,5,0,0,2,0,1,,,,,,,,,,
abema01,2012,1,SBL,NL,14,,14,0,0,0,0,0,0,0,0,1,1,0,0,3,0,2,,,,,,,,,,
abena01,1965,1,TYW,AL,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1966,1,TYW,AL,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1967,1,TYW,AL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1968,1,TYW,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1969,1,TYW,AL,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1970,1,TYW,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1971,1,YMG,AL,6,,13,3,4,1,0,0,0,0,0,0,1,0,0,2,0,0,,,,,,,,,,
abena01,1972,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1973,1,KNB,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abena01,1974,1,KNB,NL,100,,81,23,23,4,1,0,5,19,4,0,14,0,0,1,0,1,,,,,,,,,,
abena01,1975,1,KNB,NL,127,,491,57,128,13,6,1,27,27,10,22,34,1,4,10,1,5,,,,,,,,,,
abena01,1976,1,KNB,NL,123,,410,39,109,6,3,3,26,22,6,11,34,0,2,7,3,4,,,,,,,,,,
abena01,1977,1,KNB,NL,85,,185,12,37,3,3,1,19,6,5,4,29,1,0,4,1,3,,,,,,,,,,
abena01,1978,1,KNB,NL,56,,58,8,16,2,0,0,6,2,0,3,6,0,1,0,1,3,,,,,,,,,,
abena01,1979,1,KNB,NL,92,,199,27,52,6,0,1,18,13,10,9,11,1,0,0,2,2,,,,,,,,,,
abena01,1980,1,KNB,NL,27,,41,7,12,0,0,1,6,1,1,3,6,0,0,0,0,1,,,,,,,,,,
abena01,1981,1,KNB,NL,20,,11,2,3,0,0,0,1,1,0,0,1,0,0,0,0,0,,,,,,,,,,
abena02,1952,1,NSL,NL,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeos01,1981,1,SBL,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeos01,1982,1,SBL,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeos01,1983,1,SBL,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeos01,1984,1,SBL,NL,17,,28,2,3,0,0,0,0,0,0,3,4,0,0,1,0,1,,,,,,,,,,
abeos01,1985,1,SBL,NL,23,,26,1,2,0,0,0,1,0,0,1,6,0,0,0,1,0,,,,,,,,,,
abeos01,1986,1,SBL,NL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeos01,1987,1,SBL,NL,83,,203,27,55,6,2,7,26,4,2,18,37,3,1,3,3,5,,,,,,,,,,
abeos01,1988,1,SBL,NL,107,,319,39,84,17,3,8,49,1,3,31,57,3,1,8,2,7,,,,,,,,,,
abeos01,1989,1,SBL,NL,35,,84,11,20,6,1,1,9,1,1,9,18,1,0,0,0,3,,,,,,,,,,
abeos01,1990,1,SBL,NL,34,,62,2,13,3,1,0,6,2,2,10,12,0,0,2,1,1,,,,,,,,,,
abeos01,1991,1,SBL,NL,43,,63,6,12,2,1,3,9,1,0,13,10,0,0,0,0,1,,,,,,,,,,
abeos01,1992,1,SBL,NL,84,,220,24,54,17,0,7,25,0,3,25,29,1,1,1,1,10,,,,,,,,,,
abeos01,1993,1,SBL,NL,90,,174,16,47,10,0,5,17,2,0,17,28,1,2,0,0,7,,,,,,,,,,
abeos01,1994,1,SBL,NL,92,,201,27,70,19,3,3,33,2,2,14,32,1,0,0,2,6,,,,,,,,,,
abeos01,1995,1,SBL,NL,32,,47,2,5,0,0,1,4,0,0,1,18,1,0,0,0,2,,,,,,,,,,
abeos01,1996,1,SBL,NL,6,,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,,,,,,,,,,
abeos01,1997,1,KNB,NL,81,,173,16,52,11,0,2,24,2,2,18,27,1,0,0,4,3,,,,,,,,,,
abeos01,1998,1,KNB,NL,72,,144,17,36,9,0,1,12,2,0,13,19,1,1,0,2,2,,,,,,,,,,
abeos01,1999,1,KNB,NL,17,,21,2,5,0,0,0,1,1,0,0,6,0,0,0,0,2,,,,,,,,,,
abesh01,2021,1,OBF,NL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh01,2022,1,OBF,NL,44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh01,2023,1,OBF,NL,49,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh01,2024,1,OBF,NL,17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh01,2025,1,OBF,NL,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh02,2001,1,YMG,AL,127,,386,40,87,18,0,13,44,3,0,31,79,7,7,2,2,9,,,,,,,,,,
abesh02,2002,1,YMG,AL,127,,446,62,133,26,0,18,73,4,1,46,81,12,12,4,3,10,,,,,,,,,,
abesh02,2003,1,YMG,AL,94,,314,46,95,15,1,15,51,1,1,40,52,6,9,3,4,7,,,,,,,,,,
abesh02,2004,1,YMG,AL,108,,379,61,114,22,1,33,78,0,0,43,87,1,13,1,0,6,,,,,,,,,,
abesh02,2005,1,YMG,AL,130,,476,56,143,16,0,26,86,0,2,51,78,4,1,0,6,15,,,,,,,,,,
abesh02,2006,1,YMG,AL,129,,452,39,133,26,2,10,56,0,2,35,76,4,4,4,2,8,,,,,,,,,,
abesh02,2007,1,YMG,AL,140,,499,72,137,20,0,33,101,1,2,57,76,7,11,3,10,17,,,,,,,,,,
abesh02,2008,1,YMG,AL,125,,428,60,116,27,0,24,67,1,1,44,66,5,8,4,0,17,,,,,,,,,,
abesh02,2009,1,YMG,AL,123,,409,63,120,20,2,32,76,1,1,34,87,0,10,2,7,9,,,,,,,,,,
abesh02,2010,1,YMG,AL,140,,498,85,140,27,2,44,92,0,0,58,91,3,11,1,1,8,,,,,,,,,,
abesh02,2011,1,YMG,AL,114,,390,45,114,21,0,20,61,1,1,35,66,2,9,2,1,12,,,,,,,,,,
abesh02,2012,1,YMG,AL,138,,467,72,159,22,1,27,104,0,0,69,47,6,9,2,8,11,,,,,,,,,,
abesh02,2013,1,YMG,AL,135,,422,81,125,17,0,32,91,0,0,86,59,9,15,0,6,8,,,,,,,,,,
abesh02,2014,1,YMG,AL,131,,459,49,114,24,0,19,57,1,3,58,77,5,7,0,2,16,,,,,,,,,,
abesh02,2015,1,YMG,AL,111,,343,44,83,14,0,15,47,0,0,64,84,1,8,0,4,9,,,,,,,,,,
abesh02,2016,1,YMG,AL,91,,335,43,104,13,0,12,52,0,1,44,55,1,4,1,3,8,,,,,,,,,,
abesh02,2017,1,YMG,AL,129,,455,41,119,13,0,15,76,0,1,41,67,1,8,1,7,13,,,,,,,,,,
abesh02,2018,1,YMG,AL,95,,198,22,49,6,0,11,46,0,0,21,55,2,2,1,1,6,,,,,,,,,,
abesh02,2019,1,YMG,AL,95,,158,15,47,8,0,7,27,0,0,28,23,2,4,0,2,1,,,,,,,,,,
abesh03,1991,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,1992,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
