yearID,LgID,LeagueName,SubLeagueID,divID,TeamID,Franchise/AffiliationID,Rank/Wpct,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IP,HA,HRA,BBA,SOA,E,DP,FP,name,City,Team Nickname,Park,attendance,BPF,PPF,4,MiLBFranchise
2010,NG,Ni-Gun League,Eastern,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamagaya Fighters,Kamagaya,Fighters,,,,,,
2010,NG,Ni-Gun League,Western,,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Hawks,Chikushino,Hawks,,,,,,
2010,NG,Ni-Gun League,Western,,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nishinomiya Tigers,Nishinomiya,Tigers,,,,,,
2010,NG,Ni-Gun League,Western,,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroshima Carp,Hiroshima,Carp,,,,,,
2010,NG,Ni-Gun League,Western,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya Dragons,Nagoya,Dragons,,,,,,
2010,NG,Ni-Gun League,Eastern,,YB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yokosuka BayStars,Yokosuka,BayStars,,,,,,
2010,NG,Ni-Gun League,Western,,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Buffaloes,Kobe,Buffaloes,,,,,,
2011,NG,Ni-Gun League,Eastern,,YS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Swallows,Tokyo,Swallows,,,,,,
2011,NG,Ni-Gun League,Eastern,,YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Giants,Tokyo,Giants,,,,,,
2011,NG,Ni-Gun League,Eastern,,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sendai Golden Eagles,Sendai,Golden Eagles,,,,,,
2011,NG,Ni-Gun League,Eastern,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokorozawa Lions,Tokorozawa,Lions,,,,,,
2011,NG,Ni-Gun League,Eastern,,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiba Marines,Chiba,Marines,,,,,,
2011,NG,Ni-Gun League,Eastern,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamagaya Fighters,Kamagaya,Fighters,,,,,,
2011,NG,Ni-Gun League,Western,,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Hawks,Chikushino,Hawks,,,,,,
2011,NG,Ni-Gun League,Western,,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nishinomiya Tigers,Nishinomiya,Tigers,,,,,,
2011,NG,Ni-Gun League,Western,,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroshima Carp,Hiroshima,Carp,,,,,,
2011,NG,Ni-Gun League,Western,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya Dragons,Nagoya,Dragons,,,,,,
2011,NG,Ni-Gun League,Eastern,,YB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yokosuka BayStars,Yokosuka,BayStars,,,,,,
2011,NG,Ni-Gun League,Western,,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Buffaloes,Kobe,Buffaloes,,,,,,
2012,NG,Ni-Gun League,Eastern,,YS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Swallows,Tokyo,Swallows,,,,,,
2012,NG,Ni-Gun League,Eastern,,YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Giants,Tokyo,Giants,,,,,,
2012,NG,Ni-Gun League,Eastern,,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sendai Golden Eagles,Sendai,Golden Eagles,,,,,,
2012,NG,Ni-Gun League,Eastern,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokorozawa Lions,Tokorozawa,Lions,,,,,,
2012,NG,Ni-Gun League,Eastern,,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiba Marines,Chiba,Marines,,,,,,
2012,NG,Ni-Gun League,Eastern,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamagaya Fighters,Kamagaya,Fighters,,,,,,
2012,NG,Ni-Gun League,Western,,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Hawks,Chikushino,Hawks,,,,,,
2012,NG,Ni-Gun League,Western,,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nishinomiya Tigers,Nishinomiya,Tigers,,,,,,
2012,NG,Ni-Gun League,Western,,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroshima Carp,Hiroshima,Carp,,,,,,
2012,NG,Ni-Gun League,Western,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya Dragons,Nagoya,Dragons,,,,,,
2012,NG,Ni-Gun League,Eastern,,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yokosuka BayStars,Yokosuka,BayStars,,,,,,
2012,NG,Ni-Gun League,Western,,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Buffaloes,Kobe,Buffaloes,,,,,,
2013,NG,Ni-Gun League,Eastern,,YS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Swallows,Tokyo,Swallows,,,,,,
2013,NG,Ni-Gun League,Eastern,,YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Giants,Tokyo,Giants,,,,,,
2013,NG,Ni-Gun League,Eastern,,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sendai Golden Eagles,Sendai,Golden Eagles,,,,,,
2013,NG,Ni-Gun League,Eastern,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokorozawa Lions,Tokorozawa,Lions,,,,,,
2013,NG,Ni-Gun League,Eastern,,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiba Marines,Chiba,Marines,,,,,,
2013,NG,Ni-Gun League,Eastern,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamagaya Fighters,Kamagaya,Fighters,,,,,,
2013,NG,Ni-Gun League,Western,,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Hawks,Chikushino,Hawks,,,,,,
2013,NG,Ni-Gun League,Western,,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nishinomiya Tigers,Nishinomiya,Tigers,,,,,,
2013,NG,Ni-Gun League,Western,,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroshima Carp,Hiroshima,Carp,,,,,,
2013,NG,Ni-Gun League,Western,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya Dragons,Nagoya,Dragons,,,,,,
2013,NG,Ni-Gun League,Eastern,,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yokosuka BayStars,Yokosuka,BayStars,,,,,,
2013,NG,Ni-Gun League,Western,,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Buffaloes,Kobe,Buffaloes,,,,,,
2014,NG,Ni-Gun League,Eastern,,YS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Swallows,Tokyo,Swallows,,,,,,
2014,NG,Ni-Gun League,Eastern,,YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Giants,Tokyo,Giants,,,,,,
2014,NG,Ni-Gun League,Eastern,,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sendai Golden Eagles,Sendai,Golden Eagles,,,,,,
2014,NG,Ni-Gun League,Eastern,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokorozawa Lions,Tokorozawa,Lions,,,,,,
2014,NG,Ni-Gun League,Eastern,,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiba Marines,Chiba,Marines,,,,,,
2014,NG,Ni-Gun League,Eastern,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamagaya Fighters,Kamagaya,Fighters,,,,,,
2014,NG,Ni-Gun League,Western,,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Hawks,Chikushino,Hawks,,,,,,
2014,NG,Ni-Gun League,Western,,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nishinomiya Tigers,Nishinomiya,Tigers,,,,,,
2014,NG,Ni-Gun League,Western,,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroshima Carp,Hiroshima,Carp,,,,,,
2014,NG,Ni-Gun League,Western,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya Dragons,Nagoya,Dragons,,,,,,
2014,NG,Ni-Gun League,Eastern,,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yokosuka BayStars,Yokosuka,BayStars,,,,,,
2014,NG,Ni-Gun League,Western,,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Buffaloes,Kobe,Buffaloes,,,,,,
2015,NG,Ni-Gun League,Eastern,,YS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Swallows,Tokyo,Swallows,,,,,,
2015,NG,Ni-Gun League,Eastern,,YG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokyo Giants,Tokyo,Giants,,,,,,
2015,NG,Ni-Gun League,Eastern,,RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sendai Golden Eagles,Sendai,Golden Eagles,,,,,,
2015,NG,Ni-Gun League,Eastern,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokorozawa Lions,Tokorozawa,Lions,,,,,,
2015,NG,Ni-Gun League,Eastern,,LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiba Marines,Chiba,Marines,,,,,,
2015,NG,Ni-Gun League,Eastern,,NF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamagaya Fighters,Kamagaya,Fighters,,,,,,
2015,NG,Ni-Gun League,Western,,SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fukuoka Hawks,Chikushino,Hawks,,,,,,
2015,NG,Ni-Gun League,Western,,HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nishinomiya Tigers,Nishinomiya,Tigers,,,,,,
2015,NG,Ni-Gun League,Western,,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hiroshima Carp,Hiroshima,Carp,,,,,,
2015,NG,Ni-Gun League,Western,,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagoya Dragons,Nagoya,Dragons,,,,,,
2015,NG,Ni-Gun League,Eastern,,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yokosuka BayStars,Yokosuka,BayStars,,,,,,
2015,NG,Ni-Gun League,Western,,OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobe Buffaloes,Kobe,Buffaloes,,,,,,
